ID,eif3d_NES,eif3d_pvalue,eif3d_qvalue,eif3e_NES,eif3e_pvalue,eif3e_qvalue,delta,direction
WNT_SIGNALING_PATHWAY,1.9743652931093103,6.042132023209753e-6,2.734859757873889e-4,1.92158916755092,4.7745910406651974e-4,0.015412714938287653,-0.052776125558390286,up_both
NEUROTROPHIN_SIGNALING_PATHWAY,1.8299843564372855,1.514777426068227e-4,0.002015278824413982,1.834663273290618,0.0022871085201577987,0.053378395769182976,0.004678916853332549,up_both
CHRONIC_MYELOID_LEUKEMIA,1.6565760143190271,0.009741697305556067,0.029395998886941117,1.7864439643642653,0.008410520969561379,0.07828446021015349,0.1298679500452382,up_both
CHEMOKINE_SIGNALING_PATHWAY,1.9297112155238665,2.1218034860002176e-5,4.8019763104215454e-4,1.7609549149205863,0.004862884522720952,0.06727599640456053,-0.16875630060328017,up_both
TGF_BETA_SIGNALING_PATHWAY,1.846268086475493,0.001013095983273758,0.005714264300310244,1.7277032840585287,0.006226854175096553,0.07537770843537933,-0.11856480241696432,up_both
FC_EPSILON_RI_SIGNALING_PATHWAY,1.6405976064425454,0.013946450895104249,0.0341221842668269,1.7256446225008133,0.009700465721692935,0.07828446021015349,0.08504701605826792,up_both
FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,1.6138145851027315,0.01041126164073457,0.029785513368150864,1.7232828759099896,0.021812168865721123,0.09964191817712759,0.10946829080725817,up_both
MELANOGENESIS,2.10006287870476,1.6919271206066046e-5,4.8019763104215454e-4,1.7079399377237823,0.02074164674720418,0.09964191817712759,-0.39212294098097766,up_both
PROSTATE_CANCER,1.5501403998247332,0.016345738614414955,0.03842409461657609,1.6867998527627481,0.01986767274803412,0.09964191817712759,0.13665945293801496,up_both
HEDGEHOG_SIGNALING_PATHWAY,1.6942095249318136,0.013159530903820521,0.03409318385525137,1.6701499648308968,0.031153007956985043,0.09964191817712759,-0.02405956010091681,up_both
LONG_TERM_DEPRESSION,1.7289281490156172,0.008297611108145836,0.026826862981223387,1.6531828266452078,0.024285190998314245,0.09964191817712759,-0.07574532237040943,up_both
RENAL_CELL_CARCINOMA,1.5230787988860734,0.021064540848578818,0.04650964089801742,1.615145129842915,0.03473618430065271,0.09964191817712759,0.09206633095684147,up_both
