gene_id,symbol,log2FoldChange_in_KD,padj,direction,log2FoldChange_for_signature
ENSG00000197530.12,MIB2,0.8286645560348689,0.08252225027050958,down,-0.8286645560348689
ENSG00000268575.1,RP1-283E3.8,2.0290143663733415,0.020680530397648243,down,-2.0290143663733415
ENSG00000158292.6,GPR153,1.7328592946881027,3.94342204655903e-7,down,-1.7328592946881027
ENSG00000173436.13,MINOS1,0.6999319501603591,0.1309311739615142,down,-0.6999319501603591
ENSG00000142794.18,NBPF3,0.8010311181802657,0.0036807032058733,down,-0.8010311181802657
ENSG00000142675.17,CNKSR1,1.1438206934316073,0.055615177013737596,down,-1.1438206934316073
ENSG00000160051.11,IQCC,2.7963374927404585,6.081581982917369e-8,down,-2.7963374927404585
ENSG00000160062.14,ZBTB8A,1.7391014984439093,0.025611335924341415,down,-1.7391014984439093
ENSG00000116497.17,S100PBP,1.0210495948378449,3.925779046393209e-5,down,-1.0210495948378449
ENSG00000127603.23,MACF1,0.6327161421582935,0.12263851620465047,down,-0.6327161421582935
ENSG00000117000.8,RLF,0.7262091517068467,0.06782781094325234,down,-0.7262091517068467
ENSG00000049089.13,COL9A2,1.33272051739147,0.035073594571401565,down,-1.33272051739147
ENSG00000281207.1,SLFNL1-AS1,2.8194509620150057,0.03133707573481802,down,-2.8194509620150057
ENSG00000127124.14,HIVEP3,1.092751380713708,0.07179754906509529,down,-1.092751380713708
ENSG00000274386.5,TMEM269,3.9046203316783927,0.0045069591514548665,down,-3.9046203316783927
ENSG00000123091.4,RNF11,0.63194264827253,0.11825382057548908,down,-0.63194264827253
ENSG00000085831.15,TTC39A,0.8010974132549992,0.048705917175334956,down,-0.8010974132549992
ENSG00000169213.6,RAB3B,1.4735801906550532,0.001500328546183075,down,-1.4735801906550532
ENSG00000162599.15,NFIA,2.36331235991028,1.9730261749513288e-4,down,-2.36331235991028
ENSG00000158966.13,CACHD1,2.009921634828201,0.044904486311404083,down,-2.009921634828201
ENSG00000172260.14,NEGR1,3.797938421560632,1.297840647029894e-5,down,-3.797938421560632
ENSG00000162676.11,GFI1,2.736538701986142,0.0013060067882753777,down,-2.736538701986142
ENSG00000174151.14,CYB561D1,0.6358012519054985,0.13073052283177816,down,-0.6358012519054985
ENSG00000181754.6,AMIGO1,1.115195244500726,0.003604570322071202,down,-1.115195244500726
ENSG00000276216.1,CH17-373J23.1,0.9209537431404798,0.010964245843458752,down,-0.9209537431404798
ENSG00000186141.8,POLR3C,-0.5005733814754195,0.024275057347662905,up,0.5005733814754195
ENSG00000233396.7,LINC01719,-1.3647770162441333,0.13073052283177816,up,1.3647770162441333
ENSG00000159409.14,CELF3,7.534283915084747,8.65365113456932e-4,down,-7.534283915084747
ENSG00000143631.10,FLG,3.957738421610513,0.10816308575429517,down,-3.957738421610513
ENSG00000177954.11,RPS27,-1.0106120561766094,0.01724316804143207,up,1.0106120561766094
ENSG00000143622.10,RIT1,-0.6139292944541026,0.03133707573481802,up,0.6139292944541026
ENSG00000143162.7,CREG1,-0.5753846134712891,0.1637989843689035,up,0.5753846134712891
ENSG00000143341.11,HMCN1,0.5545213925015647,0.029360310346380283,down,-0.5545213925015647
ENSG00000066279.17,ASPM,0.6736009841426416,0.0017777315764885265,down,-0.6736009841426416
ENSG00000116833.13,NR5A2,1.9549207766653491,0.0017393848051693694,down,-1.9549207766653491
ENSG00000234996.4,RP11-480I12.9,2.8538512280291206,0.001500328546183075,down,-2.8538512280291206
ENSG00000196550.10,FAM72A,-2.059355352456004,0.07232623832650839,up,2.059355352456004
ENSG00000117697.14,NSL1,0.8400629476681436,0.057839212471502,down,-0.8400629476681436
ENSG00000162910.18,MRPL55,-0.6202800474240708,0.053649207240721405,up,0.6202800474240708
ENSG00000173726.10,TOMM20,-0.5406665152565084,0.10245579613269515,up,0.5406665152565084
ENSG00000239899.3,RN7SL674P,-11.382142220323118,1.166532957544666e-9,up,11.382142220323118
