gene_id,symbol,log2FoldChange_in_KD,padj,direction,log2FoldChange_for_signature
ENSG00000225630.1,MTND2P28,1.3508490079595667,0.013208793664663715,down,-1.3508490079595667
ENSG00000248527.1,MTATP6P1,1.7388584987912212,2.93169899321163e-4,down,-1.7388584987912212
ENSG00000228794.8,LINC01128,-0.7990506987230603,0.027170401949074496,up,0.7990506987230603
ENSG00000078369.17,GNB1,-0.5987967143270759,7.2260364005711304e-6,up,0.5987967143270759
ENSG00000054523.17,KIF1B,-0.5657800811507158,0.0013474384318694708,up,0.5657800811507158
ENSG00000055070.16,SZRD1,0.5403711683940875,0.0019767990256395443,down,-0.5403711683940875
ENSG00000080947.14,CROCCP3,-2.9829921504240207,0.05485870078269193,up,2.9829921504240207
ENSG00000169641.13,LUZP1,0.7146300636566493,0.015578483577434627,down,-0.7146300636566493
ENSG00000011007.12,ELOA,0.5880053502934851,0.010564206922535548,down,-0.5880053502934851
ENSG00000189266.11,PNRC2,-0.7087076580730076,2.9065197943583313e-7,up,0.7087076580730076
ENSG00000117616.17,RSRP1,0.5604257693659844,0.09647822495709286,down,-0.5604257693659844
ENSG00000117640.17,MTFR1L,-0.7330284872668044,0.0053219701640348244,up,0.7330284872668044
ENSG00000130695.14,CEP85,0.5208043258176499,0.0845328930432732,down,-0.5208043258176499
ENSG00000090020.10,SLC9A1,-0.6104360316135402,0.00806721822641047,up,0.6104360316135402
ENSG00000242125.3,SNHG3,1.783475593394963,7.989480617904847e-10,down,-1.783475593394963
ENSG00000197989.13,SNHG12,1.718230609608244,5.190130588330248e-7,down,-1.718230609608244
ENSG00000184007.18,PTP4A2,-1.1001668905740376,1.7221558159306135e-14,up,1.1001668905740376
ENSG00000160051.11,IQCC,0.8083409259845643,0.082357637573767,down,-0.8083409259845643
ENSG00000175130.6,MARCKSL1,-0.5731428510465644,0.0296065645312213,up,0.5731428510465644
ENSG00000116898.11,MRPS15,-0.5860273601115639,0.0014606883877830343,up,0.5860273601115639
ENSG00000197982.13,C1orf122,-0.6030601386132023,0.062274213043837415,up,0.6030601386132023
ENSG00000116954.7,RRAGC,0.9908972890682463,0.039637523077374226,down,-0.9908972890682463
ENSG00000090621.13,PABPC4,1.1125830175171758,2.775791692313366e-14,down,-1.1125830175171758
ENSG00000049089.13,COL9A2,1.4546747912716333,0.04063394441664586,down,-1.4546747912716333
ENSG00000117411.16,B4GALT2,0.6017822715119724,0.10717618147246741,down,-0.6017822715119724
ENSG00000117862.11,TXNDC12,-0.6260321559270074,0.0032848338757811403,up,0.6260321559270074
ENSG00000154222.14,CC2D1B,0.5240041128153765,0.07522507982704182,down,-0.5240041128153765
ENSG00000157216.15,SSBP3,-0.8627386403913465,2.776658209510647e-4,up,0.8627386403913465
ENSG00000162607.12,USP1,-0.6788784030273821,4.504168597536313e-4,up,0.6788784030273821
ENSG00000142892.14,PIGK,0.6976474195390631,0.002400075174818319,down,-0.6976474195390631
ENSG00000122417.15,ODF2L,-1.1900502918094398,0.031944564824968505,up,1.1900502918094398
ENSG00000117505.12,DR1,-0.6647044497113945,0.0010457623160590758,up,0.6647044497113945
ENSG00000121957.12,GPSM2,-0.6955322873840422,1.5714046393535647e-4,up,0.6955322873840422
ENSG00000116396.14,KCNC4,1.473525024590415,0.0427588862459989,down,-1.473525024590415
ENSG00000163349.21,HIPK1,-0.5765484627822489,4.957323182717199e-4,up,0.5765484627822489
ENSG00000052723.11,SIKE1,-0.5458311365180742,8.75376732514436e-4,up,0.5458311365180742
ENSG00000273136.6,NBPF26,-0.968581250589252,0.0010189456087501142,up,0.968581250589252
ENSG00000188092.14,GPR89B,-0.5135009243625552,0.14288351588113835,up,0.5135009243625552
ENSG00000220323.3,HIST2H2BD,-0.7580583527500206,0.09542605071654803,up,0.7580583527500206
ENSG00000203819.6,HIST2H2BC,-2.128223887898406,0.012862736365665348,up,2.128223887898406
ENSG00000272196.2,HIST2H2AA4,2.018725662798729,0.015293053497717072,down,-2.018725662798729
ENSG00000143458.11,GABPB2,-0.5074438269334697,0.03306811615708988,up,0.5074438269334697
ENSG00000163191.5,S100A11,-0.6010865998319836,0.0016972543067140878,up,0.6010865998319836
ENSG00000143543.14,JTB,-0.8005700006737049,1.1423441750778971e-8,up,0.8005700006737049
ENSG00000143569.18,UBAP2L,1.0346171478089077,1.0146208797879116e-7,down,-1.0346171478089077
ENSG00000177628.15,GBA,-0.5809073040012569,0.0014170140831502706,up,0.5809073040012569
ENSG00000116580.18,GON4L,0.5910594322091013,0.011154894448397382,down,-0.5910594322091013
ENSG00000143321.18,HDGF,-0.6015568133177341,7.721257440798542e-13,up,0.6015568133177341
ENSG00000143164.15,DCAF6,-0.8013630791296784,2.44303932162258e-4,up,0.8013630791296784
ENSG00000135835.11,KIAA1614,3.0457629708276523,0.001976578721858061,down,-3.0457629708276523
ENSG00000135829.16,DHX9,0.6132581197361238,0.007355462100109085,down,-0.6132581197361238
ENSG00000116679.15,IVNS1ABP,-0.7020570115335119,1.114390375288739e-9,up,0.7020570115335119
ENSG00000118200.14,CAMSAP2,-0.6161246224664187,0.006899337537977083,up,0.6161246224664187
ENSG00000081277.12,PKP1,0.7527523703962146,0.04780392905783721,down,-0.7527523703962146
ENSG00000163444.11,TMEM183A,-0.637632350415279,2.2689204065019188e-5,up,0.637632350415279
ENSG00000159388.5,BTG2,0.5742304546490805,0.05195230025845665,down,-0.5742304546490805
ENSG00000266028.7,SRGAP2,-0.5361862955507285,6.958771702805494e-5,up,0.5361862955507285
ENSG00000066027.11,PPP2R5A,-0.7637079997983468,0.001739463413062531,up,0.7637079997983468
ENSG00000136636.12,KCTD3,-0.5576010081458165,1.626315173454824e-4,up,0.5576010081458165
ENSG00000116141.15,MARK1,-1.0576007108377408,0.12043269709295669,up,1.0576007108377408
ENSG00000162923.14,WDR26,-1.1350971281195796,3.953096110155869e-12,up,1.1350971281195796
ENSG00000143776.18,CDC42BPA,-0.6735926490075442,0.007625842220200137,up,0.6735926490075442
ENSG00000154358.20,OBSCN,0.7359758900723278,0.07922775241149588,down,-0.7359758900723278
ENSG00000116906.11,GNPAT,-0.5202515561424113,0.03038976835861162,up,0.5202515561424113
ENSG00000121644.18,DESI2,-0.5439231495461814,0.047999814860727956,up,0.5439231495461814
ENSG00000134308.13,YWHAQ,-0.6276067898080909,2.172340527888684e-5,up,0.6276067898080909
ENSG00000115758.12,ODC1,-0.8992960846963824,1.451937958822003e-5,up,0.8992960846963824
ENSG00000162975.4,KCNF1,-0.9263422750188587,0.019768238362573482,up,0.9263422750188587
ENSG00000134318.13,ROCK2,-0.5857506982216204,0.003648200891110702,up,0.5857506982216204
ENSG00000119729.11,RHOQ,0.5347678783873799,0.13586955365295866,down,-0.5347678783873799
ENSG00000180398.11,MCFD2,-0.5057262350469318,0.016171815446622204,up,0.5057262350469318
ENSG00000116062.14,MSH6,0.5465485410310218,0.01964432100928402,down,-0.5465485410310218
ENSG00000085760.14,MTIF2,-0.5874536721145983,0.007072865800568412,up,0.5874536721145983
