gene_id,symbol,log2FoldChange_for_signature,padj,direction
ENSG00000248527.1,MTATP6P1,-0.5657496186392132,0.03973752792994853,down
ENSG00000187634.11,SAMD11,0.9287299691460871,0.013151788691202473,up
ENSG00000188976.10,NOC2L,-0.7615733622069353,3.770763570397362e-4,down
ENSG00000242485.5,MRPL20,0.5942380419843913,3.31778321705568e-4,up
ENSG00000008128.22,CDK11A,-1.5057987232589345,3.4623424010166554e-5,down
ENSG00000162408.10,NOL9,-0.5417645622391737,0.002133924502201861,down
ENSG00000074800.13,ENO1,-0.5854835095696089,1.1271115422448144e-5,down
ENSG00000178585.14,CTNNBIP1,0.9282678038250408,6.128107570078074e-4,up
ENSG00000142657.20,PGD,-0.6230291579519035,1.1243818601869003e-5,down
ENSG00000160049.11,DFFA,-0.5392552003996166,3.4501611170275776e-6,down
ENSG00000198793.12,MTOR,-0.6628656576290333,7.88816969863988e-8,down
ENSG00000132879.13,FBXO44,0.9244908013782518,0.0018687786303889554,up
ENSG00000116663.10,FBXO6,0.7831937554799263,0.03367646561940296,up
ENSG00000177674.15,AGTRAP,1.0033831349077948,0.009302789718809804,up
ENSG00000116685.15,KIAA2013,0.6405512386646254,0.00666149850171122,up
ENSG00000116731.22,PRDM2,-0.7409126461088654,8.592149452803413e-4,down
ENSG00000142634.12,EFHD2,0.8635313340579216,3.415004391356528e-6,up
ENSG00000065526.10,SPEN,-0.6393115601398969,0.002276091549950376,down
ENSG00000080947.14,CROCCP3,2.341379830972935,0.023005088300268033,up
ENSG00000261135.1,RP4-798A10.7,1.093935556069011,0.04632689264604154,up
ENSG00000117122.13,MFAP2,0.9453830983328112,4.530287772505515e-6,up
ENSG00000117118.9,SDHB,-0.6453412061947106,3.362519778675764e-8,down
ENSG00000169991.10,IFFO2,-0.8286349238748474,3.684200801466057e-5,down
ENSG00000127463.13,EMC1,-0.6822290370923092,2.9152925334475123e-9,down
ENSG00000270136.5,MINOS1-NBL1,0.5843140439040782,0.0015634613530454984,up
ENSG00000169914.5,OTUD3,-0.8747888145577539,0.0092052751124591,down
ENSG00000162545.5,CAMK2N1,0.9871519425519685,4.605602444543329e-4,up
ENSG00000187952.9,HS6ST1P1,0.5667122127300188,0.057770030687061574,up
ENSG00000076864.19,RAP1GAP,0.7468148777498441,0.021515807695180383,up
ENSG00000142798.17,HSPG2,-0.5757871742476838,0.0019124406302146399,down
ENSG00000133216.16,EPHB2,0.7026308827262575,8.694627346323846e-4,up
ENSG00000169641.13,LUZP1,-1.0487386187799421,1.2271385910849354e-4,down
ENSG00000125944.18,HNRNPR,-0.6995512634280439,4.701866677574023e-8,down
ENSG00000204219.9,TCEA3,1.0714955992577095,0.01958183455268666,up
ENSG00000011009.10,LYPLA2,0.5119726961430525,1.0168652678450894e-5,up
ENSG00000189266.11,PNRC2,0.7631907167017843,3.6296938650697807e-13,up
ENSG00000157978.11,LDLRAP1,0.5621332106665852,0.005382703786610932,up
ENSG00000117640.17,MTFR1L,0.7685641051477797,0.0019509595771321118,up
ENSG00000130695.14,CEP85,-0.8762412222089419,2.456914917791272e-4,down
ENSG00000142669.14,SH3BGRL3,0.5002237654203029,3.433371167530105e-4,up
ENSG00000198830.10,HMGN2,0.5625803953409138,2.3109456894844366e-8,up
ENSG00000090020.10,SLC9A1,0.6588280358057745,0.0019487108644821072,up
ENSG00000142733.14,MAP3K6,-0.7252817202741337,0.03437138396013274,down
ENSG00000229820.2,RP1-308E4.1,-0.5217341605390111,0.08771561899534451,down
ENSG00000242125.3,SNHG3,-0.9089775902136472,0.003963593543285434,down
ENSG00000197989.13,SNHG12,-1.3360338138964176,1.285667295457335e-13,down
ENSG00000198492.15,YTHDF2,-0.6185275214915106,7.802831618442373e-5,down
ENSG00000162512.15,SDC3,0.7397532574614729,0.024981973090933675,up
ENSG00000134644.15,PUM1,-0.7141472211897181,7.778008592099516e-6,down
ENSG00000184007.18,PTP4A2,0.717870423010188,2.6501647833129382e-8,up
ENSG00000121774.17,KHDRBS1,-0.8110232510455865,2.8073146280227398e-6,down
ENSG00000250135.1,RP4-622L5.2,-0.5582011115479395,0.10842598067880069,down
ENSG00000084652.15,TXLNA,-0.6323441978017537,7.686849890780513e-4,down
ENSG00000160050.14,CCDC28B,0.5173114704320219,0.12479223119521121,up
ENSG00000160055.19,TMEM234,0.5581814867470144,0.11157032876041599,up
ENSG00000175130.6,MARCKSL1,1.7318375812471056,2.50031688007629e-24,up
ENSG00000121900.18,TMEM54,0.8154017410350156,0.005349031351156423,up
ENSG00000197056.9,ZMYM1,-0.8053458768427725,0.0033710455483840595,down
ENSG00000116560.10,SFPQ,-1.0311753009470306,1.544870509440292e-6,down
ENSG00000092853.13,CLSPN,-0.9594824776713967,4.953828953296076e-7,down
ENSG00000054118.13,THRAP3,-0.9915395185441257,2.090318488843054e-5,down
ENSG00000142694.6,EVA1B,1.1524383471867354,0.039252627816793735,up
ENSG00000196182.10,STK40,0.5356256711002,0.09805974508430496,up
ENSG00000181817.5,LSM10,0.9870567072405786,3.134972090878718e-8,up
ENSG00000134697.12,GNL2,-1.0154166247389667,2.40034687322535e-6,down
ENSG00000196449.3,YRDC,-0.5037104387852848,0.022257569222190375,down
ENSG00000197982.13,C1orf122,0.5822685505151362,0.0076135233206561246,up
ENSG00000183431.11,SF3A3,-0.5198158031296344,0.008408825917500343,down
ENSG00000183520.11,UTP11,-0.6194058351162198,8.63842374382822e-6,down
ENSG00000183682.7,BMP8A,0.7325552442527579,0.05019161283802929,up
ENSG00000090621.13,PABPC4,-1.1237998195021224,9.639829738842762e-10,down
ENSG00000117013.14,KCNQ4,0.5406842865510524,0.060719813341759445,up
ENSG00000171793.13,CTPS1,-0.7791568003012784,1.598997800763957e-6,down
ENSG00000204060.6,FOXO6,1.0307933593502927,0.02587115209383616,up
ENSG00000127129.9,EDN2,0.5215078075661004,0.12486658021814788,up
ENSG00000127124.14,HIVEP3,0.6675734256558457,0.08138738218097179,up
