gene_id,symbol,LFC_te_DMSO,padj_te_DMSO,LFC_ribo_DMSO,padj_ribo_DMSO,LFC_rna_DMSO,padj_rna_DMSO,LFC_te_a209,padj_te_a209,LFC_ribo_a209,padj_ribo_a209,LFC_rna_a209,padj_rna_a209
ENSG00000187634.11,SAMD11,0.04364683351883819,0.6511833457594672,0.01421778997637693,0.9772988585110327,-3.2135465044525442e-6,0.9999857835394629,0.014457298403540896,0.9200343286660435,4.2056996153657814e-7,0.9982430336258562,-0.012515574814514476,0.8511422707820259
ENSG00000188976.10,NOC2L,0.1440538186675699,0.4181886500088438,0.16341775534538922,0.4782699568845154,5.719098702692326e-6,0.9999857835394629,-0.0017775064088674636,0.9990900350060224,-8.994565536281434e-7,0.9982430336258562,-0.02355023006268249,0.8088041022876161
ENSG00000187961.13,KLHL17,-0.02280383116531898,0.7265501951830027,-0.009902024039103648,0.9733929117871732,-2.3556107014318637e-6,0.9999857835394629,-0.048283925143273836,0.4903669433876639,-1.686131387788993e-6,0.9982430336258562,-2.9534574493883894e-4,0.9949789614411753
ENSG00000187583.10,PLEKHN1,0.01848806396640329,0.7806779817833422,0.008600041638746798,0.9856283685386843,-3.546411021864847e-7,0.9999857835394629,-0.009899909585355065,0.9376805030191614,-7.428667223790822e-7,0.9982430336258562,-0.00781306529830028,0.8497746647215985
ENSG00000188290.10,HES4,0.01995454406822401,0.8676324274144551,0.004949009382550418,0.9995549130875302,-7.909047652018165e-6,0.9999857835394629,0.009165725274660351,0.914989586905244,1.2649735473688196e-7,0.9982430336258562,-0.004713481588271806,0.8981553460785926
ENSG00000187608.8,ISG15,-0.005317786300300451,0.9812726372392473,4.5002536628664517e-4,0.9995549130875302,3.212746023301841e-6,0.9999857835394629,0.04493989262378287,0.6754912857725873,3.1145221178547618e-6,0.9982430336258562,-0.003114775283415846,0.9731842243880532
ENSG00000188157.14,AGRN,-0.004966277106707912,0.9892596863434614,-0.001263322980842396,0.9995549130875302,6.460138721735489e-7,0.9999857835394629,0.09264528938691989,0.592716019137155,4.615165666399643e-6,0.9982430336258562,-0.017759265716896445,0.858769164847679
ENSG00000237330.2,RNF223,-0.27563065841589457,0.2358142911050855,-0.05162646858728704,0.7830144375050859,8.556784990154865e-6,0.9999857835394629,0.04793260377358963,0.7520102727115232,2.2497157616026467e-6,0.9982430336258562,-0.012201910214019509,0.8882021264619896
ENSG00000131591.17,C1orf159,-6.620284808927587e-4,0.9978028127667146,0.0034018014629952887,0.9995549130875302,6.003545889763287e-6,0.9999857835394629,-0.023563633339240043,0.8445450434644914,-7.915671322587786e-7,0.9982430336258562,-0.01570828974956649,0.7729077174253006
ENSG00000186891.13,TNFRSF18,0.015571027986272525,0.8998918104864694,0.01614736432421334,0.9599152611430747,5.048704024120964e-6,0.9999857835394629,-0.012584940178117157,0.9166506256425953,-4.609587656556414e-7,0.9982430336258562,-0.0011942990048105493,0.9830842285430286
ENSG00000078808.16,SDF4,0.06470244517984398,0.7121220423787512,0.03924262954961193,0.9693861587150947,-5.554148441778797e-6,0.9999857835394629,-0.01044658578596944,0.9703256566916365,-1.7345169602321743e-6,0.9982430336258562,-0.023584327714806078,0.8067534327504151
ENSG00000176022.4,B3GALT6,-0.013387532057848645,0.926831278716587,-0.005488808533924092,0.9995549130875302,-3.874790400220332e-6,0.9999857835394629,0.017834452502385287,0.8551230402832322,6.549147804301635e-7,0.9982430336258562,-0.013607715075316546,0.8648144215672761
ENSG00000160087.20,UBE2J2,-0.07536707179070307,0.6038140937415212,-0.04281219271423637,0.8583155424872464,-9.396706155454596e-6,0.9999857835394629,0.045746218008340354,0.7973355632763373,1.0898301670878494e-6,0.9982430336258562,-0.03535418909359309,0.653170385007188
ENSG00000131584.18,ACAP3,-0.023392640634679742,0.8728834196962587,-0.011364876791330632,0.9995549130875302,3.051534000624212e-8,0.9999857835394629,-0.11365249298232467,0.513206185265617,-2.821774515382498e-6,0.9982430336258562,0.009440867416110115,0.9082003647503597
ENSG00000169972.11,PUSL1,0.052987268920459206,0.6883712480478299,0.04569136696191185,0.8527112220255383,4.087692342628324e-6,0.9999857835394629,0.004876652046813586,0.9803262241656093,-8.128504346039702e-8,0.9982430336258562,-0.012763484388584243,0.8701709646353823
ENSG00000127054.20,INTS11,-0.03558693177638239,0.8336713255469138,-0.009916479343977807,0.9995549130875302,7.038162838596554e-6,0.9999857835394629,0.24147734328623116,0.31908521771945264,1.3443035950675583e-5,0.9982430336258562,-0.022681328007117352,0.7812126443970345
ENSG00000224051.6,CPTP,-0.04953282701044089,0.5767957323315913,-0.01408874158399436,0.9803707719486656,6.6380492941156345e-6,0.9999857835394629,0.004268315479586921,0.9803262241656093,5.394711431209498e-7,0.9982430336258562,0.001216655622785453,0.9909084109630301
ENSG00000107404.19,DVL1,-0.05541348291660998,0.6028596545338927,-0.016994457299484487,0.959888759731575,6.2367807044975e-6,0.9999857835394629,-0.029936990975406547,0.8477467643470137,-1.4937086170853606e-6,0.9982430336258562,-0.0216224514902232,0.7964206635373683
ENSG00000175756.13,AURKAIP1,-0.22087407783038154,0.2809012149195981,-0.13845174371307464,0.550266684836565,6.860528435270527e-6,0.9999857835394629,0.02633614303007528,0.8396968591202716,8.533900716938427e-7,0.9982430336258562,-0.07717239035455395,0.45275567441839537
ENSG00000221978.11,CCNL2,-0.041028922500958284,0.7498682734867751,-0.018737297059285205,0.9874239900220031,1.588065629011167e-6,0.9999857835394629,0.0192639894480068,0.9265506393556368,1.3969386015266811e-6,0.9982430336258562,0.012900702933010681,0.8705763888713813
ENSG00000242485.5,MRPL20,0.029631871432629374,0.8334047725262131,0.035614562547563886,0.9508253027433785,3.171993474722406e-6,0.9999857835394629,0.028604637980387614,0.9015699639657797,-8.504799246439351e-7,0.9982430336258562,-0.03746318511599125,0.6693632237694158
ENSG00000179403.11,VWA1,0.01537309103735657,0.9337297456715634,0.007913930831486298,0.9995549130875302,1.0930261254968926e-7,0.9999857835394629,0.006541076874535006,0.9713099074528855,-2.2457932811113736e-6,0.9982430336258562,-0.04385001211701082,0.39139505659179824
ENSG00000160072.19,ATAD3B,0.020155576322554936,0.9135956400483185,0.013288383740785939,0.9995549130875302,1.2263401079865756e-6,0.9999857835394629,0.02221370439108757,0.8799395861522101,8.636779699049727e-8,0.9982430336258562,-0.024456670789280863,0.6824163008125289
