gene_id,symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj,condition,biotype
ENSG00000187634.11,SAMD11,118.90098831919703,0.018147012202467276,0.14354507297707556,0.749555751447373,0.9638519869684208,normoxic,protein_coding
ENSG00000188976.10,NOC2L,1347.7110392177797,0.0047152446229308965,0.12471534394563132,0.9452135136589196,0.9921887264784309,normoxic,protein_coding
ENSG00000187961.13,KLHL17,28.72125422771026,0.0039004211906980206,0.14774891844419583,0.9177972192296505,0.9899386383521058,normoxic,protein_coding
ENSG00000187583.10,PLEKHN1,20.075253931718184,0.04424864517460967,0.15850324014524794,0.20391773657406584,0.6859313617408209,normoxic,protein_coding
ENSG00000188290.10,HES4,82.60312098054895,0.014873969759073184,0.14834670861584842,0.7131804483493998,0.9547112445886989,normoxic,protein_coding
ENSG00000187608.8,ISG15,296.84584775207617,-0.08803712550791777,0.1514742046753075,0.2548776563990575,0.7344669412411352,normoxic,protein_coding
ENSG00000188157.14,AGRN,1853.8195536278108,0.08631571345703509,0.1524581101164241,0.2640823409789299,0.7428097885738207,normoxic,protein_coding
ENSG00000237330.2,RNF223,360.4598829780272,0.15798900343273578,0.17875465310863337,0.09417367749539296,0.5023317296792326,normoxic,protein_coding
ENSG00000131591.17,C1orf159,55.327619333438726,0.003461579729755684,0.14526863783697277,0.9403327126049222,0.991515997013611,normoxic,protein_coding
ENSG00000186891.13,TNFRSF18,61.096344142954955,0.02523791618985529,0.1432738328006337,0.6505658778480669,0.9423375586647806,normoxic,protein_coding
ENSG00000078808.16,SDF4,931.6763572695413,-0.054812821838066496,0.11923256747898883,0.48832108000615027,0.8851880673352571,normoxic,protein_coding
ENSG00000176022.4,B3GALT6,99.75546092734233,0.028855410063866303,0.14635534275002599,0.5838353222038111,0.9227589883548485,normoxic,protein_coding
ENSG00000160087.20,UBE2J2,355.0311411090991,-0.2873394915808296,0.16821978522249723,0.01153160528456637,0.16794191818105486,normoxic,protein_coding
